scen_num,sample_num,capacity_multiplier,exp_name,date,group_id,reopen,delay,rollback,crit_det,date_min,date_max,type,subtype,days_above
923,83,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-16,878,50perc,1daysdelay,weak (20%),516,2020-12-16,2021-01-27,threshold,above_threshold,41.7173524150252
1066,96,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-16,1016,50perc,1daysdelay,weak (20%),519,2020-12-16,2021-01-30,threshold,above_threshold,44.5617173524146
1924,174,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-16,1825,50perc,1daysdelay,weak (20%),532,2020-12-16,2021-02-24,threshold,above_threshold,69.2128801431121
1055,95,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-17,1006,50perc,1daysdelay,weak (20%),531,2020-12-17,2021-01-27,threshold,above_threshold,40.7692307692297
1603,145,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-17,1515,50perc,1daysdelay,weak (20%),534,2020-12-17,2020-12-22,threshold,above_threshold,4.74060822898315
1616,146,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-17,1528,50perc,1daysdelay,weak (20%),535,2020-12-17,2021-02-06,threshold,above_threshold,50.2504472271905
943,85,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-18,898,50perc,1daysdelay,weak (20%),528,2020-12-18,2020-12-27,threshold,above_threshold,8.5330948121625
1680,152,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-18,1586,50perc,1daysdelay,weak (20%),518,2020-12-18,2021-02-01,threshold,above_threshold,44.5617173524146
1682,152,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-18,1588,50perc,1daysdelay,weak (20%),517,2020-12-18,2021-02-18,threshold,above_threshold,61.6279069767423
800,72,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-19,760,50perc,1daysdelay,weak (20%),518,2020-12-19,2021-01-28,threshold,above_threshold,39.8211091234342
