date,rt_median,scen_num,reopen
2020-10-15,1.10226618717339,320,50perc
2020-10-15,1.13997017882373,324,50perc
2020-10-15,1.10188991885798,326,50perc
2020-10-15,1.12783073897565,335,50perc
2020-10-15,1.14563108973444,345,50perc
2020-10-15,1.12138914069357,350,50perc
2020-10-15,1.11256228418916,354,50perc
2020-10-15,1.14518566203753,359,50perc
2020-10-15,1.14082142047193,365,50perc
2020-10-15,1.13323195140436,366,50perc
2020-10-15,1.11780977662893,368,50perc
2020-10-15,,370,50perc
2020-10-15,1.13561190447906,375,50perc
2020-10-15,1.1281462208073,376,50perc
2020-10-15,1.12635079260464,381,50perc
2020-10-15,1.11286956706253,384,50perc
2020-10-15,1.12247794544125,386,50perc
2020-10-15,1.13453209605605,398,50perc
2020-10-16,1.12365326221812,3,50perc
2020-10-16,1.13962483066969,6,50perc
2020-10-16,1.11245495641788,11,50perc
2020-10-16,1.12283682160302,14,50perc
2020-10-16,1.11866563288542,17,50perc
2020-10-16,1.12653392539523,18,50perc
2020-10-16,1.14610727642584,27,50perc
2020-10-16,1.11850294427053,30,50perc
2020-10-16,1.13385541525303,35,50perc
2020-10-16,1.10433050476426,37,50perc
2020-10-16,1.11158706859708,49,50perc
2020-10-16,1.13992777326949,50,50perc
2020-10-16,1.12459333721084,57,50perc
2020-10-16,1.11329321874011,58,50perc
2020-10-16,1.12693970637893,59,50perc
2020-10-16,1.13277247217637,63,50perc
2020-10-16,1.12299870279932,65,50perc
2020-10-16,1.11714402239344,66,50perc
2020-10-16,1.11928507030512,69,50perc
2020-10-16,1.1370764537985,71,50perc
2020-10-16,1.12674796544704,73,50perc
2020-10-16,1.10582411097754,81,50perc
2020-10-16,1.12050721525388,101,50perc
2020-10-16,1.12394701165962,102,50perc
2020-10-16,1.11598460897991,104,50perc
2020-10-16,1.12712519455963,110,50perc
2020-10-16,1.15390601780469,111,50perc
2020-10-16,1.14426948846642,116,50perc
2020-10-16,1.126661473565,122,50perc
2020-10-16,1.13390070039429,127,50perc
2020-10-16,1.1149029039322,134,50perc
2020-10-16,1.10785960537967,137,50perc
2020-10-16,1.11536921276796,140,50perc
2020-10-16,1.1207340990845,144,50perc
2020-10-16,1.10718630721484,147,50perc
2020-10-16,1.12283802451302,149,50perc
2020-10-16,1.12751894742866,150,50perc
2020-10-16,1.1129457359145,151,50perc
2020-10-16,1.10617000844997,152,50perc
2020-10-16,1.13094214380079,156,50perc
2020-10-16,1.13844787973612,157,50perc
2020-10-16,1.12813787249678,159,50perc
2020-10-16,1.10582925175697,164,50perc
2020-10-16,1.14809060518334,165,50perc
2020-10-16,1.12954506748817,175,50perc
2020-10-16,1.12673090407846,195,50perc
2020-10-16,1.12410464621073,199,50perc
2020-10-16,1.12667386054486,211,50perc
2020-10-16,1.13298246034748,212,50perc
2020-10-16,1.12427054458512,223,50perc
2020-10-16,1.12410837053316,224,50perc
2020-10-16,1.12482618263941,225,50perc
2020-10-16,1.10867529300332,227,50perc
2020-10-16,1.12993487935383,231,50perc
2020-10-16,1.1235712166494,234,50perc
2020-10-16,1.13960605851996,235,50perc
2020-10-16,1.13955638673918,245,50perc
2020-10-16,1.12494624716566,253,50perc
2020-10-16,1.11630034478905,258,50perc
2020-10-16,1.11798305497551,259,50perc
2020-10-16,1.09677711947193,262,50perc
2020-10-16,,264,50perc
2020-10-16,1.10145929645414,266,50perc
2020-10-16,1.11658579819063,269,50perc
2020-10-16,1.11298966440569,271,50perc
2020-10-16,1.11195641857669,272,50perc
2020-10-16,1.13087457638932,274,50perc
